,long,lat,elev,rt_num,class,intensity,geometry,cluster_label
27,83150.319,439657.499,1166,1,6,59,POINT (4.3422857190948205 51.94072586778001),0
49,83150.389,439656.063,1171,1,6,157,POINT (4.342287037204171 51.940712971476785),0
50,83150.454,439656.398,1172,1,6,102,POINT (4.342287912309887 51.94071599052576),0
51,83150.521,439656.742,1156,1,6,56,POINT (4.34228881461548 51.94071909071628),0
52,83150.584,439657.09,1221,1,6,125,POINT (4.342289657921686 51.940722226337904),0
73,83150.72,439656.286,1142,1,6,67,POINT (4.342291803576876 51.940715018355384),0
75,83150.785,439656.654,1252,2,6,108,POINT (4.3422926717829995 51.940718333975695),0
102,83150.996,439656.194,1286,2,6,82,POINT (4.342295836069771 51.940714227217384),0
969,83161.155,439658.142,890,1,6,113,POINT (4.342443148661723 51.94073304665695),1
992,83161.345,439657.746,1182,1,6,134,POINT (4.342445994199446 51.94072951234995),1
1013,83161.508,439657.261,1191,1,6,113,POINT (4.342448465741598 51.940725174710145),1
1014,83161.574,439657.588,1135,1,6,120,POINT (4.342449357071662 51.94072812199101),1
1016,83161.639,439657.937,1162,2,6,91,POINT (4.342450229261774 51.94073126685695),1
1017,83161.703,439658.356,1449,1,6,200,POINT (4.342451072277167 51.94073504068455),1
1037,83161.69,439656.494,1260,2,6,175,POINT (4.342451272512518 51.940718305187715),1
1038,83161.757,439656.8,1124,1,6,123,POINT (4.34245218277363 51.940721063870555),1
1039,83161.823,439657.153,1167,1,6,111,POINT (4.342453068668368 51.94072424481372),1
1040,83161.887,439657.485,1161,1,6,103,POINT (4.34245392987185 51.940727236771195),1
1041,83161.948,439657.806,1163,1,6,106,POINT (4.3424547497527035 51.940730129483946),1
1043,83162.013,439658.145,1174,2,6,66,POINT (4.342455624033801 51.940733184479726),1
1044,83162.079,439658.504,1240,1,6,202,POINT (4.342456508674675 51.940736419344994),1
1068,83161.973,439656.023,1173,1,6,96,POINT (4.342455486020999 51.94071410887102),1
1069,83162.034,439656.337,1149,1,6,96,POINT (4.342456307365115 51.94071693867463),1
1070,83162.104,439656.702,1157,1,6,102,POINT (4.3424572489145365 51.94072022797879),1
1071,83162.171,439657.052,1168,1,6,93,POINT (4.342458149977575 51.940723382090106),1
1072,83162.235,439657.383,1166,1,6,95,POINT (4.342459011390437 51.94072636506056),1
1073,83162.301,439657.731,1171,1,6,116,POINT (4.342459898331039 51.94072950106861),1
1074,83162.366,439658.064,1162,1,6,116,POINT (4.3424607738668115 51.94073250214232),1
1076,83162.495,439658.692,1017,1,6,78,POINT (4.342462518342024 51.94073816265394),1
1096,83162.365,439656.249,1169,1,6,86,POINT (4.342461138762344 51.9407161905855),1
1097,83162.43,439656.587,1173,1,6,80,POINT (4.342462013252666 51.940719236594234),1
1098,83162.492,439656.903,1154,1,6,98,POINT (4.342462848719964 51.94072208450106),1
1099,83162.561,439657.266,1164,1,6,102,POINT (4.342463776147292 51.94072535570192),1
1100,83162.628,439657.619,1185,1,6,74,POINT (4.342464676583724 51.94072853677424),1
1101,83162.694,439657.951,1161,1,6,119,POINT (4.342465566869643 51.94073152899007),1
1102,83162.759,439658.294,1159,1,6,88,POINT (4.342466440315287 51.940734619933814),1
1121,83162.62,439656.14,1150,1,6,130,POINT (4.342464869449831 51.94071524394914),1
1122,83162.689,439656.505,1165,1,6,134,POINT (4.342465796459058 51.94071853312405),1
1123,83162.751,439656.825,1170,1,6,75,POINT (4.342466631090362 51.94072141697886),1
1124,83162.816,439657.156,1151,1,6,108,POINT (4.3424675070445415 51.94072440007845),1
1125,83162.876,439657.474,1158,1,6,109,POINT (4.342468313012591 51.94072726570084),1
1126,83162.946,439657.835,1163,1,6,106,POINT (4.342469255399321 51.94073051905686),1
1127,83163.011,439658.202,1251,1,6,186,POINT (4.342470123827901 51.94073382568888),1
1129,83163.077,439658.515,1154,2,6,79,POINT (4.34247101808631 51.940736647151425),1
1130,83163.141,439658.905,1341,1,6,233,POINT (4.342471867166106 51.94074016035551),1
1146,83162.87,439656.011,1166,1,6,139,POINT (4.3424685316143155 51.940714116926365),1
1147,83162.94,439656.375,1165,1,6,78,POINT (4.34246947337363 51.94071739724339),1
1148,83163.001,439656.692,1164,1,6,92,POINT (4.342470294091525 51.94072025400797),1
1149,83163.069,439657.049,1159,1,6,101,POINT (4.342471208232894 51.940723471157504),1
1150,83163.131,439657.368,1158,1,6,132,POINT (4.3424720430736885 51.9407263460253),1
1151,83163.197,439657.707,1157,1,6,97,POINT (4.342472931896685 51.94072940115016),1
1152,83163.259,439658.031,1165,1,6,127,POINT (4.34247376569243 51.94073232095302),1
1153,83163.328,439658.397,1180,1,6,162,POINT (4.3424746924936 51.9407356191148),1
1156,83163.46,439659.054,1069,1,6,70,POINT (4.342476474530537 51.940741540637255),-1
1172,83163.183,439656.261,1163,1,6,91,POINT (4.3424730306168735 51.94071640412122),1
1173,83163.25,439656.608,1158,1,6,75,POINT (4.342473932308106 51.940719531271405),1
1174,83163.319,439656.971,1169,1,6,105,POINT (4.342474859736189 51.940722802472195),1
1175,83163.381,439657.29,1170,1,6,91,POINT (4.3424756945772085 51.94072567733995),1
1176,83163.45,439657.652,1164,1,6,86,POINT (4.342476622214597 51.940728939553715),1
1177,83163.512,439657.973,1176,1,6,212,POINT (4.3424774566377335 51.94073183239547),1
1178,83163.577,439658.294,1116,1,6,43,POINT (4.342478334683353 51.940734725624864),1
1199,83163.412,439656.191,1159,1,6,111,POINT (4.342476375090638 51.940715804618605),1
1200,83163.474,439656.511,1162,1,6,120,POINT (4.342477209722574 51.94071868847343),1
1201,83163.538,439656.845,1159,1,6,94,POINT (4.342478070509458 51.94072169840475),1
1202,83163.605,439657.191,1161,1,6,90,POINT (4.342478972410196 51.940724816567865),1
1203,83163.674,439657.556,1175,1,6,209,POINT (4.342479899420651 51.94072810574261),1
1204,83163.737,439657.867,1131,1,6,239,POINT (4.3424807504752945 51.94073090884347),1
1207,83163.866,439658.58,1279,2,6,34,POINT (4.342482477183578 51.940737333250866),1
1225,83163.613,439656.083,1165,1,6,115,POINT (4.342479320366286 51.94071485999167),1
1226,83163.68,439656.433,1167,1,6,72,POINT (4.342480221430769 51.94071801410281),1
1227,83163.743,439656.767,1174,1,6,76,POINT (4.342481067677055 51.94072102390494),1
1228,83163.806,439657.09,1173,1,6,239,POINT (4.342481916223021 51.94072393484994),1
1229,83163.872,439657.418,1111,1,6,135,POINT (4.342482807346208 51.9407268911176),1
1233,83164.068,439658.45,1153,1,6,55,POINT (4.342485441600431 51.94073619103872),1
1234,83164.137,439658.817,1179,1,6,213,POINT (4.3424863681934855 51.94073949818741),1
1250,83163.948,439656.283,1169,1,6,147,POINT (4.342484149719334 51.940716700678024),1
1251,83164.011,439656.62,1182,1,6,167,POINT (4.3424849953387055 51.94071973744114),1
1252,83164.08,439656.959,1124,1,6,222,POINT (4.342485927784819 51.94072279295353),1
1255,83164.203,439657.644,1288,2,6,37,POINT (4.342487573102215 51.94072896494932),1
